"chw" "question" "score"
"89fda0284e008d2e0c980fb13f95a0fb" "form.bp2.not_yet_maternal_emergency" 0
"70c6ba6f55ed21716fe725c21469a1e0" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9a6042" "form.bp2.not_yet_maternal_emergency" 0
"70c6ba6f55ed21716fe725c2146982df" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9735c8" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f98b956" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f98ed57" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f96f087" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f97dff4" "form.bp2.not_yet_maternal_emergency" 0
"70c6ba6f55ed21716fe725c21469d627" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9528e1" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f98736b" "form.bp2.not_yet_maternal_emergency" 0
"70c6ba6f55ed21716fe725c21469ace7" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f95ad0e" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f992875" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9597bc" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9a3e49" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f975e5c" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f9a94f7" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f967b9f" "form.bp2.not_yet_maternal_emergency" 0
"89fda0284e008d2e0c980fb13f97e56a" "form.bp1.counsel_ifa" 0.00146340912103441
"89fda0284e008d2e0c980fb13f96a8a3" "form.bp1.counsel_ifa" 0.000483735599795865
"89fda0284e008d2e0c980fb13f97cef7" "form.bp1.counsel_ifa" 0.0873470709592341
"89fda0284e008d2e0c980fb13f99a3ad" "form.bp1.counsel_ifa" 0.0223557567115134
"89fda0284e008d2e0c980fb13f957a1e" "form.bp1.counsel_ifa" 0.0178315225681234
"89fda0284e008d2e0c980fb13f992222" "form.bp1.counsel_ifa" 0.0274060485252755
"89fda0284e008d2e0c980fb13f994cf8" "form.bp1.counsel_ifa" 0.0873470709592341
"89fda0284e008d2e0c980fb13f979609" "form.bp1.counsel_ifa" 0.00489831349206349
"89fda0284e008d2e0c980fb13f982710" "form.bp1.counsel_ifa" 0.0073666285241175
"89fda0284e008d2e0c980fb13f981bae" "form.bp1.counsel_ifa" 0.00489831349206349
"89fda0284e008d2e0c980fb13f94e5b7" "form.bp1.counsel_ifa" 0.00489831349206349
"89fda0284e008d2e0c980fb13f95f7a6" "form.bp1.counsel_ifa" 0.0223557567115134
"89fda0284e008d2e0c980fb13f956856" "form.bp1.counsel_ifa" 0.0073666285241175
"89fda0284e008d2e0c980fb13f958239" "form.bp1.counsel_ifa" 0.130881472773282
"89fda0284e008d2e0c980fb13f9917a0" "form.bp1.counsel_ifa" 0.0329873205922862
"89fda0284e008d2e0c980fb13f95300e" "form.bp1.counsel_ifa" 0.00293212477131249
"89fda0284e008d2e0c980fb13f98af77" "form.bp1.counsel_ifa" 0.0391045420518086
"89fda0284e008d2e0c980fb13f996b98" "form.bp1.counsel_ifa" 0.0138284695832411
"89fda0284e008d2e0c980fb13f985425" "form.bp1.counsel_ifa" 0.0223557567115134
"fcd13ae716841026ee760704bb0d99ee" "form.bp1.counsel_ifa" 0.777294026249575
"89fda0284e008d2e0c980fb13f94fae5" "form.bp1.counsel_ifa" 0.00489831349206349
"89fda0284e008d2e0c980fb13f9b46eb" "form.bp1.counsel_ifa" 0.0529669454400637
"89fda0284e008d2e0c980fb13f980116" "form.bp1.counsel_ifa" 0.0103417668363307
"89fda0284e008d2e0c980fb13f99886e" "form.bp1.counsel_ifa" 0.0178315225681234
"89fda0284e008d2e0c980fb13f99a592" "form.bp1.counsel_ifa" 0.0073666285241175
"89fda0284e008d2e0c980fb13f9ac931" "form.bp1.counsel_ifa" 0.00293212477131249
"89fda0284e008d2e0c980fb13f99a86d" "form.bp1.counsel_ifa" 0.0178315225681234
"89fda0284e008d2e0c980fb13f97d834" "form.bp1.counsel_ifa" 0.000483735599795865
"89fda0284e008d2e0c980fb13f992e2c" "form.bp1.counsel_ifa" 0.0178315225681234
"89fda0284e008d2e0c980fb13f97478a" "form.bp1.counsel_ifa" 0.0073666285241175
"70c6ba6f55ed21716fe725c21469e6ed" "form.bp1.counsel_ifa" 0.000483735599795865
"89fda0284e008d2e0c980fb13f98d9d7" "form.bp1.counsel_ifa" 0.000483735599795865
"89fda0284e008d2e0c980fb13f9623b3" "form.bp1.counsel_ifa" 0.00293212477131249
"89fda0284e008d2e0c980fb13f9b323a" "form.bp1.counsel_ifa" 0.715320758669556
"89fda0284e008d2e0c980fb13f95fe45" "form.bp1.counsel_ifa" 0.0073666285241175
"89fda0284e008d2e0c980fb13f966281" "form.bp1.counsel_ifa" 0.0073666285241175
