"c" "over_count" "over_ratio" "nweeks_reporting"
"152" "70c6ba6f55ed21716fe725c21469d627" "21" "0.0621301775147929" "338"
"153" "89fda0284e008d2e0c980fb13f98b956" "51" "0.0602836879432624" "846"
"154" "89fda0284e008d2e0c980fb13f980ee3" "1" "0.00232018561484919" "431"
"155" "89fda0284e008d2e0c980fb13f96f087" "1" "0.0029940119760479" "334"
"156" "89fda0284e008d2e0c980fb13f954d49" "18" "0.0445544554455446" "404"
"157" "89fda0284e008d2e0c980fb13f992875" "58" "0.0729559748427673" "795"
"158" "89fda0284e008d2e0c980fb13f99fba3" "42" "0.0703517587939698" "597"
"159" "89fda0284e008d2e0c980fb13f9aa5ec" "18" "0.0211019929660023" "853"
"160" "89fda0284e008d2e0c980fb13f95bb9f" "15" "0.0480769230769231" "312"
"161" "89fda0284e008d2e0c980fb13f987fd5" "2" "0.00340136054421769" "588"
"162" "89fda0284e008d2e0c980fb13f9aee39" "52" "0.106122448979592" "490"
"163" "89fda0284e008d2e0c980fb13f979bb8" "13" "0.0474452554744526" "274"
"164" "89fda0284e008d2e0c980fb13f9597bc" "25" "0.0637755102040816" "392"
"165" "89fda0284e008d2e0c980fb13f9a88cd" "15" "0.025" "600"
"166" "89fda0284e008d2e0c980fb13f97540b" "0" "0" "169"
"167" "89fda0284e008d2e0c980fb13f97fc0a" "26" "0.0670103092783505" "388"
"168" "89fda0284e008d2e0c980fb13f99f90d" "12" "0.0247422680412371" "485"
"169" "89fda0284e008d2e0c980fb13f9a68f3" "13" "0.0211382113821138" "615"
"170" "89fda0284e008d2e0c980fb13f98ed57" "58" "0.0615711252653928" "942"
"171" "89fda0284e008d2e0c980fb13f998a68" "8" "0.00982800982800983" "814"
"172" "89fda0284e008d2e0c980fb13f94d6ef" "25" "0.0305250305250305" "819"
"173" "89fda0284e008d2e0c980fb13f9ab9a8" "2" "0.0060790273556231" "329"
"174" "89fda0284e008d2e0c980fb13f958016" "19" "0.0706319702602231" "269"
"175" "70c6ba6f55ed21716fe725c21469ace7" "5" "0.00931098696461825" "537"
"176" "89fda0284e008d2e0c980fb13f98d506" "43" "0.0477777777777778" "900"
"177" "89fda0284e008d2e0c980fb13f9692b3" "19" "0.0259917920656635" "731"
"178" "89fda0284e008d2e0c980fb13f95ad0e" "1" "0.010752688172043" "93"
"179" "89fda0284e008d2e0c980fb13f95dbc7" "7" "0.0189189189189189" "370"
"180" "89fda0284e008d2e0c980fb13f98d9d7" "33" "0.0679012345679012" "486"
"181" "89fda0284e008d2e0c980fb13f98c6e0" "4" "0.0108991825613079" "367"
"182" "89fda0284e008d2e0c980fb13f98af77" "68" "0.0831295843520782" "818"
"183" "89fda0284e008d2e0c980fb13f95205a" "21" "0.0469798657718121" "447"
"184" "89fda0284e008d2e0c980fb13f97031c" "8" "0.0707964601769911" "113"
"185" "89fda0284e008d2e0c980fb13f95623e" "25" "0.0407830342577488" "613"
"186" "89fda0284e008d2e0c980fb13f976b14" "0" "0" "369"
