"chw" "aggregate_count" "aggregate_percent" "total_count" "total_percent"
"100" "89fda0284e008d2e0c980fb13f98f9d5" 2 0.00542005420054201 0 0
"101" "fcd13ae716841026ee760704bb0d92e5" 1 0.00584795321637427 0 0
"102" "89fda0284e008d2e0c980fb13f966281" 37 0.0513888888888889 1 0.0136986301369863
"103" "89fda0284e008d2e0c980fb13f992e2c" 8 0.0158102766798419 0 0
"104" "89fda0284e008d2e0c980fb13f99f651" 1 0.0023094688221709 0 0
"105" "89fda0284e008d2e0c980fb13f9a7b0c" 30 0.0252951096121417 3 0.0410958904109589
"106" "89fda0284e008d2e0c980fb13f996b98" 41 0.0368705035971223 2 0.0273972602739726
"107" "89fda0284e008d2e0c980fb13f9866e8" 30 0.0289296046287367 4 0.0547945205479452
"108" "89fda0284e008d2e0c980fb13f980116" 13 0.0131578947368421 2 0.0273972602739726
"109" "89fda0284e008d2e0c980fb13f987d0e" 5 0.00619578686493185 1 0.0136986301369863
"110" "89fda0284e008d2e0c980fb13f98e475" 7 0.0173267326732673 0 0
"111" "89fda0284e008d2e0c980fb13f9a6d98" 2 0.00909090909090909 0 0
"112" "89fda0284e008d2e0c980fb13f94f3f9" 11 0.04 0 0
"113" "89fda0284e008d2e0c980fb13f96554b" 34 0.0362473347547974 2 0.0273972602739726
"114" "89fda0284e008d2e0c980fb13f999899" 4 0.00936768149882904 0 0
"115" "89fda0284e008d2e0c980fb13f95d481" 42 0.0988235294117647 8 0.10958904109589
"116" "89fda0284e008d2e0c980fb13f983d38" 20 0.0211416490486258 1 0.0136986301369863
"117" "fcd13ae716841026ee760704bb0d7fee" 0 0 1 0.0136986301369863
"118" "89fda0284e008d2e0c980fb13f99fa39" 2 0.00597014925373134 0 0
"119" "89fda0284e008d2e0c980fb13f9b1c77" 25 0.0227272727272727 1 0.0136986301369863
"120" "89fda0284e008d2e0c980fb13f958239" 33 0.02882096069869 0 0
"121" "89fda0284e008d2e0c980fb13f95f2b4" 29 0.0316248636859324 3 0.0410958904109589
"122" "89fda0284e008d2e0c980fb13f95e9b4" 15 0.0186799501867995 1 0.0136986301369863
"123" "89fda0284e008d2e0c980fb13f9b323a" 69 0.0480836236933798 2 0.0273972602739726
"124" "89fda0284e008d2e0c980fb13f99e74b" 26 0.0237010027347311 2 0.0273972602739726
"125" "89fda0284e008d2e0c980fb13f9b2365" 21 0.0368421052631579 1 0.0136986301369863
"126" "89fda0284e008d2e0c980fb13f97256b" 7 0.0217391304347826 0 0
"127" "89fda0284e008d2e0c980fb13f967b9f" 2 0.00714285714285714 0 0
"128" "89fda0284e008d2e0c980fb13f961f23" 53 0.0745428973277075 1 0.0136986301369863
"129" "89fda0284e008d2e0c980fb13f982710" 8 0.0104166666666667 1 0.0136986301369863
"130" "70c6ba6f55ed21716fe725c214694627" 12 0.030690537084399 0 0
"131" "89fda0284e008d2e0c980fb13f9b19cd" 6 0.0260869565217391 0 0
"132" "89fda0284e008d2e0c980fb13f9a6a78" 10 0.0161550888529887 2 0.0273972602739726
"133" "89fda0284e008d2e0c980fb13f9ac931" 3 0.00721153846153846 0 0
"134" "89fda0284e008d2e0c980fb13f958a63" 0 0 0 0
"135" "89fda0284e008d2e0c980fb13f952278" 38 0.0604133545310016 1 0.0136986301369863
"136" "89fda0284e008d2e0c980fb13f976515" 7 0.0225806451612903 0 0
"137" "fcd13ae716841026ee760704bb0d89b2" 23 0.0289308176100629 0 0
"138" "89fda0284e008d2e0c980fb13f99c940" 4 0.00888888888888889 0 0
"139" "89fda0284e008d2e0c980fb13f97478a" 8 0.0178173719376392 0 0
"140" "89fda0284e008d2e0c980fb13f956dab" 2 0.00649350649350649 0 0
"141" "89fda0284e008d2e0c980fb13f98317d" 24 0.0428571428571429 0 0
"142" "89fda0284e008d2e0c980fb13f95300e" 22 0.0275344180225282 0 0
"143" "89fda0284e008d2e0c980fb13f992222" 5 0.00714285714285714 0 0
"144" "89fda0284e008d2e0c980fb13f9a5551" 19 0.0234567901234568 1 0.0136986301369863
"145" "89fda0284e008d2e0c980fb13f985425" 17 0.0238095238095238 0 0
"146" "89fda0284e008d2e0c980fb13f96c45a" 28 0.04375 0 0
"147" "89fda0284e008d2e0c980fb13f976d3e" 24 0.0416666666666667 1 0.0136986301369863
"148" "89fda0284e008d2e0c980fb13f96ef9f" 1 0.00229357798165138 1 0.0136986301369863
"149" "70c6ba6f55ed21716fe725c214694428" 13 0.0208 0 0
"150" "70c6ba6f55ed21716fe725c21469a1e0" 25 0.0506072874493927 0 0
"151" "89fda0284e008d2e0c980fb13f94f406" 18 0.0300500834724541 0 0
"152" "70c6ba6f55ed21716fe725c21469d627" 13 0.0384615384615385 0 0
"153" "89fda0284e008d2e0c980fb13f98b956" 43 0.0508274231678487 4 0.0547945205479452
"154" "89fda0284e008d2e0c980fb13f980ee3" 0 0 0 0
"155" "89fda0284e008d2e0c980fb13f96f087" 1 0.0029940119760479 0 0
"156" "89fda0284e008d2e0c980fb13f954d49" 12 0.0297029702970297 0 0
"157" "89fda0284e008d2e0c980fb13f992875" 42 0.0528301886792453 2 0.0273972602739726
"158" "89fda0284e008d2e0c980fb13f99fba3" 35 0.0586264656616415 1 0.0136986301369863
"159" "89fda0284e008d2e0c980fb13f9aa5ec" 17 0.0199296600234467 1 0.0136986301369863
"160" "89fda0284e008d2e0c980fb13f95bb9f" 13 0.0416666666666667 0 0
"161" "89fda0284e008d2e0c980fb13f987fd5" 3 0.00510204081632653 0 0
"162" "89fda0284e008d2e0c980fb13f9aee39" 51 0.104081632653061 3 0.0410958904109589
"163" "89fda0284e008d2e0c980fb13f979bb8" 8 0.0291970802919708 0 0
"164" "89fda0284e008d2e0c980fb13f9597bc" 22 0.0561224489795918 0 0
"165" "89fda0284e008d2e0c980fb13f9a88cd" 15 0.025 0 0
"166" "89fda0284e008d2e0c980fb13f97540b" 0 0 0 0
"167" "89fda0284e008d2e0c980fb13f97fc0a" 23 0.0592783505154639 0 0
"168" "89fda0284e008d2e0c980fb13f99f90d" 9 0.0185567010309278 0 0
