"c" "over_count" "over_months" "over_ratio" "nmonths_reporting"
"217" "89fda0284e008d2e0c980fb13f9859d8" "1" "1" "0.333333333333333" "3"
"218" "70c6ba6f55ed21716fe725c2146972eb" "2" "1" "0.333333333333333" "3"
"219" "89fda0284e008d2e0c980fb13f96de63" "1" "1" "0.333333333333333" "3"
"220" "89fda0284e008d2e0c980fb13f9a2e6b" "21" "3" "0.333333333333333" "3"
"221" "89fda0284e008d2e0c980fb13f96b252" "0" "0" "1" "1"
"222" "89fda0284e008d2e0c980fb13f97710a" "0" "0" "1" "1"
"223" "fb6e0b19cbe3ef683a10c4c47669d0ce" "2" "1" "0.333333333333333" "3"
"224" "89fda0284e008d2e0c980fb13f9b05d4" "3" "1" "1" "1"
"225" "fb6e0b19cbe3ef683a10c4c47669bc70" "0" "0" "0.5" "2"
"226" "89fda0284e008d2e0c980fb13f959c0a" "5" "2" "0.5" "2"
"227" "89fda0284e008d2e0c980fb13f9a1c42" "2" "1" "0.5" "2"
"228" "89fda0284e008d2e0c980fb13f9a06a3" "0" "0" "1" "1"
"229" "89fda0284e008d2e0c980fb13f9a052b" "0" "0" "1" "1"
"230" "89fda0284e008d2e0c980fb13f98fd43" "2" "1" "1" "1"
"231" "89fda0284e008d2e0c980fb13f98230b" "0" "0" "1" "1"
