"months" "chw" "score" "rank" "week_mean" "week_sd"
"702" 5 "89fda0284e008d2e0c980fb13f9a94f7" 14.7773515139578 137 43.0657701880064 30.4313767579178
"703" 5 "fcd13ae716841026ee760704bb0d92e5" 14.2576250049003 138 43.0657701880064 30.4313767579178
"704" 5 "89fda0284e008d2e0c980fb13f95a0fb" 14.1620975461377 139 43.0657701880064 30.4313767579178
"705" 5 "89fda0284e008d2e0c980fb13f97b53a" 14.1360378434564 140 43.0657701880064 30.4313767579178
"706" 5 "89fda0284e008d2e0c980fb13f960194" 13.8116246631674 141 43.0657701880064 30.4313767579178
"707" 5 "89fda0284e008d2e0c980fb13f978578" 13.3016285111672 142 43.0657701880064 30.4313767579178
"708" 5 "89fda0284e008d2e0c980fb13f9a6d98" 13.2298471727507 143 43.0657701880064 30.4313767579178
"709" 5 "70c6ba6f55ed21716fe725c21469e6ed" 12.8190179692522 144 43.0657701880064 30.4313767579178
"710" 5 "89fda0284e008d2e0c980fb13f96554b" 12.6742531908025 145 43.0657701880064 30.4313767579178
"711" 5 "89fda0284e008d2e0c980fb13f99f90d" 12.6742531908025 146 43.0657701880064 30.4313767579178
"712" 6 "89fda0284e008d2e0c980fb13f98af77" 187.172472336483 1 44.5507946782671 29.4365433709051
"713" 6 "89fda0284e008d2e0c980fb13f97fc0a" 141.958115807884 2 44.5507946782671 29.4365433709051
"714" 6 "89fda0284e008d2e0c980fb13f989136" 136.288153541778 3 44.5507946782671 29.4365433709051
"715" 6 "89fda0284e008d2e0c980fb13f98317d" 127.575269203754 4 44.5507946782671 29.4365433709051
"716" 6 "89fda0284e008d2e0c980fb13f99f8e5" 123.91768971648 5 44.5507946782671 29.4365433709051
"717" 6 "89fda0284e008d2e0c980fb13f969126" 107.836931196036 6 44.5507946782671 29.4365433709051
"718" 6 "89fda0284e008d2e0c980fb13f98a6d5" 97.4432472871246 7 44.5507946782671 29.4365433709051
"719" 6 "89fda0284e008d2e0c980fb13f9a6042" 96.4262036169619 8 44.5507946782671 29.4365433709051
"720" 6 "89fda0284e008d2e0c980fb13f95f2b4" 92.6237041741508 9 44.5507946782671 29.4365433709051
