                                 chw                            question       score            x2
172 89fda0284e008d2e0c980fb13f980ee3 form.bp2.not_yet_maternal_emergency  0.36901195   0.157555500
122 89fda0284e008d2e0c980fb13f97ae9f form.bp2.not_yet_maternal_emergency  0.36707734   0.156118000
136 89fda0284e008d2e0c980fb13f976b14 form.bp2.not_yet_maternal_emergency  0.36707734   0.156118000
200 89fda0284e008d2e0c980fb13f94e6b6 form.bp2.not_yet_maternal_emergency  0.36707734   0.156118000
209 89fda0284e008d2e0c980fb13f95cb81 form.bp2.not_yet_maternal_emergency  0.36707734   0.156118000
42  89fda0284e008d2e0c980fb13f955485 form.bp2.not_yet_maternal_emergency  0.33820431   0.135250000
44  70c6ba6f55ed21716fe725c214694428 form.bp2.not_yet_maternal_emergency  0.33697987   0.134389900
5   89fda0284e008d2e0c980fb13f97b53a form.bp2.not_yet_maternal_emergency  0.33614615   0.133805400
185 70c6ba6f55ed21716fe725c2146972eb form.bp2.not_yet_maternal_emergency  0.33614615   0.133805400
223 89fda0284e008d2e0c980fb13f96f087 form.bp2.not_yet_maternal_emergency  0.33614615   0.133805400
20  89fda0284e008d2e0c980fb13f96a8a3 form.bp2.not_yet_maternal_emergency  0.30582750   0.113214600
28  89fda0284e008d2e0c980fb13f98fe2e form.bp2.not_yet_maternal_emergency  0.30582750   0.113214600
115 89fda0284e008d2e0c980fb13f99c940 form.bp2.not_yet_maternal_emergency  0.30582750   0.113214600
178 70c6ba6f55ed21716fe725c2146966b6 form.bp2.not_yet_maternal_emergency  0.30582750   0.113214600
208 89fda0284e008d2e0c980fb13f9a6d98 form.bp2.not_yet_maternal_emergency  0.30582750   0.113214600
212 89fda0284e008d2e0c980fb13f9afb45 form.bp2.not_yet_maternal_emergency  0.30582750   0.113214600
163 89fda0284e008d2e0c980fb13f96114d form.bp2.not_yet_maternal_emergency  0.27611554   0.094344300
207 89fda0284e008d2e0c980fb13f9849f8 form.bp2.not_yet_maternal_emergency  0.27611554   0.094344300
103 89fda0284e008d2e0c980fb13f9859d8 form.bp2.not_yet_maternal_emergency  0.24700401   0.077193340
203 fcd13ae716841026ee760704bb0d89a7 form.bp2.not_yet_maternal_emergency  0.24700401   0.077193340
64  89fda0284e008d2e0c980fb13f97583c form.bp2.not_yet_maternal_emergency  0.24524917   0.076203700
